from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_6-10seg_eval/run_1,False,,False,,,99.90412139892578
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs32_regular_from_cpt_5-6/run_2,False,,False,,3000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs32_regular_from_cpt_5-6/run_1,False,,False,,3000.0,99.95211029052734
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_regular_from_cpt_4-5/run_2,False,,False,,3000.0,99.90421295166016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_regular_from_cpt_4-5/run_1,False,,False,,3000.0,99.95211029052734
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_regular_from_cpt_1-2/run_2,False,,False,,3000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_regular_from_cpt_1-2/run_1,False,,False,,3000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_6-6seg_eval/run_2,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_6-6seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_6-6seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,2,linear,6986,14,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_6986-512-{14}seg_mem10_bs128_regular_9-14seg_eval/run_2,False,,False,,,99.90412139892578
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,2,linear,6986,14,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_6986-512-{14}seg_mem10_bs128_regular_9-14seg_eval/run_1,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs128_regular_3-2seg_eval/run_2,False,,False,,,100.0
