task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-3_from_cpt_3-10_eval/run_4,False,,False,,,2.053391218185425,,-1,3,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-4_from_cpt_4-10_eval/run_4,False,,False,,,2.034238815307617,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-5_from_cpt_5-10_eval/run_4,False,,False,,,1.9287604093551636,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-6_from_cpt_6-10_eval/run_4,False,,False,,,1.891313910484314,,-1,6,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1260,5,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1260-256-5x256_mem2_bs128_regular_bptt-2_from_cpt_2-5_eval/run_4,False,,False,,,2.300233840942383,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1260,5,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1260-256-5x256_mem2_bs128_regular_bptt-3_from_cpt_3-5_eval/run_4,False,,False,,,2.373108148574829,,-1,3,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1260,5,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1260-256-5x256_mem2_bs128_regular_bptt-4_from_cpt_4-5_eval/run_4,False,,False,,,2.46659779548645,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderXLCache,decoder,1e-05,64,1,linear,128,2,128,0.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_128-128-2x128_mem0_xl64_bs128_regular_bptt-5_from_cpt_5-2_eval/run_1,False,,False,,,3.0322694778442383,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,8,4,linear,128,2,128,0.0,regular,../runs/arxiv/arxiv/gpt2/linear_adamw_wd1e-03_128-128-2x128_mem0_xl64_bs32_regular_bptt-2_from_cpt_1-2/run_1,False,,False,,250000.0,1.9615261554718018,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderMSCPUOffload,decoder,1e-05,16,1,linear,130560,128,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_130560-1024-128x1024_mem2_bs128_regular_bptt-4_from_cpt_4-128_eval/run_1,False,,False,,,1.525028109550476,,-1,4,False,False
